time,frequency,confidence
0.8500000000,139.3925114117,0.1162731051
0.8600000000,140.7164266170,0.1501398534
0.8700000000,149.4019809982,0.2181503177
0.8800000000,157.6374640882,0.2657598555
0.8900000000,158.4385389265,0.1759162247
0.9000000000,158.2782793088,0.2136428505
0.9100000000,157.7780300449,0.2647987604
0.9200000000,155.8965125086,0.3693478107
0.9300000000,156.2855684462,0.5978528261
0.9400000000,156.7464640701,0.5923082829
0.9500000000,156.9135869159,0.6243593693
0.9600000000,155.7478829971,0.5865241885
0.9700000000,158.2975613188,0.4154807329
0.9800000000,162.9621335679,0.4932933152
0.9900000000,164.4018010041,0.6605743170
1.0000000000,161.3747620749,0.6980119944
1.0100000000,156.9857040589,0.8319821954
1.0200000000,159.0950752038,0.3615047038
1.0300000000,162.5765927707,0.2867360711
1.0400000000,170.7121353942,0.2914335728
1.0500000000,179.4227932220,0.3035667241
1.0600000000,185.2693064996,0.2876943350
1.0700000000,189.7491757148,0.3766168654
1.0800000000,195.3002821841,0.2108352035
1.0900000000,198.2151224034,0.5445133448
1.1000000000,200.1964758936,0.7262126803
1.1100000000,200.7577297804,0.8377147913
1.1200000000,200.2610012702,0.8837113380
1.1300000000,199.2791963334,0.9277639389
1.1400000000,198.4587116594,0.9374571443
1.1500000000,198.2797487710,0.9391852021
1.1600000000,198.5207727840,0.9467062354
1.1700000000,198.0145086236,0.9193257689
1.1800000000,196.1630617352,0.9274877310
1.1900000000,195.3431525312,0.9380134344
1.2000000000,196.0376166024,0.9366672039
1.2100000000,196.4130008104,0.9510080814
1.2200000000,196.2186027084,0.9523251057
1.2300000000,196.9023006728,0.9560704231
1.2400000000,198.8804584754,0.9328252673
1.2500000000,201.7208613839,0.9168918133
1.2600000000,203.5410800459,0.9490967989
1.2700000000,204.1670190543,0.9540355206
1.2800000000,204.3058796554,0.9479585290
1.2900000000,204.4113652025,0.9453669190
1.3000000000,204.4829585776,0.9431782961
1.3100000000,204.3679122009,0.9458974004
1.3200000000,204.4143511055,0.9408001900
1.3300000000,204.9983423901,0.9237928391
1.3400000000,205.4608034847,0.9503872395
1.3500000000,205.6058672955,0.9524745941
1.3600000000,205.7551890201,0.9536614418
1.3700000000,206.0102753254,0.9597694874
1.3800000000,205.8674528730,0.9633215070
1.3900000000,205.5061269729,0.9550251961
1.4000000000,205.0009926955,0.9332800508
1.4100000000,204.7703261830,0.9283636808
1.4200000000,204.4545539917,0.9446628690
1.4300000000,203.7900301336,0.9533152580
1.4400000000,203.2309225820,0.9430820346
1.4500000000,202.9970320824,0.9331080914
1.4600000000,203.0803450571,0.9411522746
1.4700000000,203.0203717786,0.9410055280
1.4800000000,202.9914931819,0.9396471977
1.4900000000,203.3140962941,0.9506844282
1.5000000000,203.6127152853,0.9531119466
1.5100000000,203.8323494709,0.9464496374
1.5200000000,203.4739020258,0.9383432269
1.5300000000,202.7767432792,0.9125227332
1.5400000000,202.2911244259,0.9080054760
1.5500000000,202.1959608881,0.9121973515
1.5600000000,202.1456958487,0.9141222835
1.5700000000,201.5336143629,0.9172090888
1.5800000000,200.5390784086,0.8878020048
1.5900000000,199.5262239671,0.9111314416
1.6000000000,198.7093423199,0.9159412384
1.6100000000,198.3589554853,0.9086320996
1.6200000000,198.6807024007,0.9110798836
1.6300000000,199.5229241783,0.9037316442
1.6400000000,200.6072159261,0.8808559179
1.6500000000,201.7408669373,0.9077940583
1.6600000000,202.7331196738,0.8991319537
1.6700000000,203.6704013965,0.9342033267
1.6800000000,204.5177946855,0.9263849258
1.6900000000,205.3575235614,0.9322355986
1.7000000000,205.9550640628,0.9427001476
1.7100000000,206.1884441689,0.9335516095
1.7200000000,205.6221055625,0.8976733088
1.7300000000,204.7128999274,0.8033900857
1.7400000000,204.8212071757,0.6774852872
1.7500000000,204.8142036094,0.6035861969
1.7600000000,203.5997207222,0.6202216148
1.7700000000,202.0791190201,0.5864664912
1.7800000000,200.0934948088,0.5290401578
1.7900000000,198.2271339465,0.2634368539
1.8000000000,187.7116528503,0.2775292099
1.8100000000,181.4680458492,0.2974994481
1.8200000000,172.7166726009,0.2467001975
1.8300000000,167.4625635712,0.1329322159
1.8400000000,164.6367898397,0.1343465894
1.8500000000,159.7510521491,0.1356303096
1.8600000000,154.8179518701,0.4708279073
1.8700000000,146.7062534054,0.1530731171
1.8800000000,138.4689298544,0.1767168194
1.8900000000,133.7469936455,0.2032768726
1.9000000000,130.9619181426,0.2356589884
1.9100000000,129.7344323424,0.4692496955
1.9200000000,127.9894901721,0.2381057590
1.9300000000,130.5228656611,0.3209742308
1.9400000000,140.9487428527,0.0437169299
1.9500000000,144.4111433688,0.0976685286
1.9600000000,143.5408368992,0.0732807592
1.9700000000,153.0185674596,0.0968019217
1.9800000000,159.8259310087,0.3608106077
1.9900000000,158.2880820999,0.5448103547
2.0000000000,157.6881193664,0.5862049460
2.0100000000,156.4035887538,0.5155058503
2.0200000000,155.0612760057,0.5218061805
2.0300000000,153.3226102673,0.6188021302
2.0400000000,152.8938377288,0.7355747223
2.0500000000,150.1911754112,0.5850417018
2.0600000000,148.7830793597,0.2754403949
2.0700000000,149.4793602032,0.2030607015
2.0800000000,152.0016713786,0.3409054577
2.0900000000,156.0160251857,0.4407966435
2.1000000000,156.6774825635,0.6266545057
2.1100000000,156.3754410849,0.6942653060
2.1200000000,156.2459921958,0.7727557421
2.1300000000,156.6879726418,0.5765759945
2.1400000000,156.7572404550,0.3204733729
2.1500000000,156.9418308859,0.1606546491
2.1600000000,156.9144597378,0.1513214260
2.1700000000,156.7570931453,0.1550853252
2.1800000000,155.7863153311,0.1992659271
2.1900000000,154.8836886037,0.1657023579
2.2000000000,155.3362985200,0.5458536744
2.2100000000,154.5128992142,0.6262111068
2.2200000000,155.4432917061,0.6478363276
2.2300000000,155.4437971841,0.5837404728
2.2400000000,153.8426909464,0.1835563481
